"","Received.Year","Received.Month","Report.Date","County.Name","Animal.Classification","Number.of.Samples","Positive.Samples","Latitude.Center.Point","Longitude.Center.Point","Geocode"
"1",2008,4,NA,"Wayne","Bat",1,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"2",2009,9,NA,"Orleans","Dog",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"3",2017,4,NA,"Tioga","Wild Other",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"4",2023,6,NA,"Ulster","Rodents",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"5",2019,12,NA,"Schenectady","Bat",1,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"6",2011,6,NA,"Ontario","Raccoon",4,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"7",2024,3,NA,"Ontario","Raccoon",1,1,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"8",2017,5,NA,"Chenango","Cat",2,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"9",2008,7,NA,"Orange","Cat",12,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"10",2013,10,NA,"Clinton","Cat",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"11",2012,8,NA,"Broome","Raccoon",1,1,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"12",2016,2,NA,"Wayne","Dog",2,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"13",2010,3,NA,"Westchester","Raccoon",5,5,41.122,-73.7949,"POINT (-73.7949 41.122)"
"14",2009,6,NA,"Putnam","Cat",2,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"15",2014,5,NA,"Jefferson","Dog",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"16",2015,3,NA,"Nassau","Cat",3,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"17",2016,2,NA,"Herkimer","Cat",2,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"18",2008,7,NA,"Schenectady","Wild Other",2,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
